County,New Positives,All Positives,New Tests,All Tests,Positive,co-ordinates,latitude,longitude,geometry
"Otsego, NY",19,840,540,54143,3.51851851851852,"(42.70102310180664, -74.92680358886719)",42.6297762,-75.028841,POINT (-74.92680358886719 42.70102310180664)
"Putnam, NY",48,3608,912,92281,5.26315789473684,"(43.74171829223633, -73.40206146240234)",41.4279067,-73.7438608,POINT (-73.40206146240234 43.74171829223633)
"Queens, NY",949,100265,21229,2250978,4.47030006123699,"(40.7597770690918, -73.81729888916016)",40.6585662,-73.8380168,POINT (-73.81729888916016 40.7597770690918)
"Rensselaer, NY",60,2411,2429,167049,2.47015232606011,"(42.6473503112793, -73.73914337158203)",42.7104206,-73.5138454,POINT (-73.73914337158203 42.6473503112793)
"Richmond, NY",424,27448,7011,588080,6.04763942376266,"(42.79006576538086, -77.51669311523438)",40.5612628,-74.1398995,POINT (-77.51669311523438 42.79006576538086)
"Rockland, NY",175,23680,2874,370457,6.08907446068198,"(41.94535827636719, -74.9128189086914)",41.1546276,-74.0246616,POINT (-74.91281890869141 41.94535827636719)
"Saratoga, NY",118,3183,1895,203323,6.22691292875989,"(43.10184097290039, -73.58051300048828)",43.1061353,-73.8553872,POINT (-73.58051300048828 43.10184097290039)
"Schenectady, NY",119,3490,1569,165934,7.58444869343531,"(42.8142204284668, -73.94409942626953)",42.8175516,-74.0435592,POINT (-73.94409942626953 42.8142204284668)
"Schoharie, NY",14,293,100,22746,14,"(42.665870666503906, -74.30988311767578)",42.591294,-74.4381718,POINT (-74.30988311767578 42.66587066650391)
"Schuyler, NY",2,372,295,19716,0.677966101694915,"(43.05365753173828, -75.07413482666016)",42.4197755,-76.938603,POINT (-75.07413482666016 43.05365753173828)
"Seneca, NY",15,459,265,28420,5.66037735849057,"(42.82493591308594, -77.09596252441406)",42.7822943,-76.827088,POINT (-77.09596252441406 42.82493591308594)
"St. Lawrence, NY",64,1270,882,129179,7.2562358276644,"(44.59563064575195, -75.16922760009766)",44.4881125,-75.074311,POINT (-75.16922760009766 44.59563064575195)
"Steuben, NY",57,2295,1494,87929,3.81526104417671,"(43.323463439941406, -75.28203582763672)",42.2667252,-77.3855253,POINT (-75.28203582763672 43.32346343994141)
"Suffolk, NY",1075,72118,16941,1625221,6.34555221061331,"(40.91700744628906, -72.66213989257812)",40.943554,-72.6922183,POINT (-72.66213989257812 40.91700744628906)
"Sullivan, NY",31,2407,487,54125,6.36550308008214,"(43.054195404052734, -75.84769439697266)",41.7199928,-74.7715769,POINT (-75.84769439697266 43.05419540405273)
"Tioga, NY",17,1329,685,46434,2.48175182481752,"(42.056175231933594, -76.34814453125)",42.1780565,-76.2974556,POINT (-76.34814453125 42.05617523193359)
"Tompkins, NY",26,1477,8517,775726,0.305271809322531,"(42.06869125366211, -75.24978637695312)",42.4530063,-76.4734835,POINT (-75.24978637695312 42.06869125366211)
"Ulster, NY",73,4176,1792,175550,4.07366071428571,"(41.956634521484375, -73.96853637695312)",41.9472124,-74.2654582,POINT (-73.96853637695312 41.95663452148438)
"Warren, NY",14,724,695,56441,2.01438848920863,"(42.84703826904297, -74.9206771850586)",43.5551053,-73.8381388,POINT (-74.92067718505859 42.84703826904297)
"Washington, NY",20,538,379,49529,5.27704485488127,"(41.78553771972656, -73.69046020507812)",43.3123766,-73.4394282,POINT (-73.69046020507812 41.78553771972656)
"Wayne, NY",47,1579,623,82730,7.54414125200642,"(42.4705810546875, -77.10536193847656)",43.4587577,-77.0631637,POINT (-77.10536193847656 42.4705810546875)
"Westchester, NY",611,57606,10385,1218615,5.88348579682234,"(40.840030670166016, -73.84453582763672)",41.1526862,-73.7457526,POINT (-73.84453582763672 40.84003067016602)
"Wyoming, NY",33,804,491,35996,6.72097759674134,"(42.8284797668457, -78.08788299560547)",42.7013627,-78.2285667,POINT (-78.08788299560547 42.8284797668457)
"Yates, NY",7,352,145,17844,4.82758620689655,"(43.321258544921875, -78.38877868652344)",42.638237,-77.1043238,POINT (-78.38877868652344 43.32125854492188)
